MID,DISCIPL,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8401700923,HST,364492615, ,A51,612565965,813219,CHINATOWN MUSEUM,CHINATOWN MUSEUM FOUNDATION,CHINESE AMERICAN MUSEUM, ,238 W 23RD ST,CHICAGO,IL,60616-1904,60616, , , , , ,3129491000,HTTP://WWW.CCAMUSEUM.ORG,CHINATOWN MUSEUM FOUNDATION,201312,4,333684,333684,238 W 23RD ST,CHICAGO,IL,60616-1904,200306, , , , ,-87.63416,41.85103,4,3,1,17,31,238 W 23RD ST,CHICAGO,IL,60616-1904,60616,1,0,0,1,0,0,0, 
8401700964,ART,366154098, ,A51,72362916,712110,MUSEUM OF CONTEMPORARY ART,MUSEUM OF CONTEMPORARY ART, , ,220 E CHICAGO AVE,CHICAGO,IL,60611-2643,60611, , , , , ,3122802660, ,MUSEUM OF CONTEMPORARY ART,201406,8,30544403,20846926,220 E CHICAGO AVE,CHICAGO,IL,60611-2643,196605, , , , ,-87.62195,41.89685,4,3,1,17,31,220 E CHICAGO AVE,CHICAGO,IL,60611-2643,60611,1,1,1,1,0,0,0, 
8401700971,SCI,366210902, ,A50,83081802,712110,ADLER PLANETARIUM & ASTRONOMY MUSEUM,ADLER PLANETARIUM,INCL DEFINITI SPACE THEATER; GRAINGER SKY THEATER, ,1300 LAKE SHORE DRIVE,CHICAGO,IL,60605-2489,60605, , , , , ,3123220300,HTTP://WWW.ADLERPLANETARIUM.ORG,ADLER PLANETARIUM,201406,8,22385046,17101262,1300 S LAKE SHORE DR,CHICAGO,IL,60605-2403,196809, , , , ,-87.6194,41.86488,4,3,1,17,31,1300 S LAKE SHORE DR,CHICAGO,IL,60605-2403,60605,1,1,1,1,0,0,0, 
8401701152,HST,371369481, ,A54, ,712110,KOREAN WAR VETERANS NATIONAL MUSEUM & LIBRARY,KOREAN WAR VETERANS NATIONAL MUSEUM & LIBRARY, , ,47 W DIVISION ST 1950,CHICAGO,IL,60690-1950,60690,47 W DIVISION ST 1950,CHICAGO,IL,60690-1950,60690,8884195053,HTTP://WWW.KWNM.ORG,KOREAN WAR VETERANS NATIONAL MUSEUM & LIBRARY,201312,6,1332203,1332203,47 W DIVISION ST,CHICAGO,IL,60610-2220,199807, , , , ,-87.6303,41.90382,4,3,1,17,31,47 W DIVISION ST 1950,CHICAGO,IL,60690-1950,60690,1,0,0,0,0,0,0, 
8401701238,ART,386317991, ,A51, ,813219,FLINT INSTITUTE OF ARTS,BRAY CHARITABLE TRUST FBO FLINT INSTITUTE OF ARTS A, ,BRAY CHARITABLE TRUST FBO FLINT INSTITUTE OF ARTS A,10 S DEARBORN,CHICAGO,IL,60603-2300,60603, , , , , , , ,BRAY CHARITABLE TRUST FBO FLINT INSTITUTE OF ARTS A,201308,4,436522, ,10 S DEARBORN,CHICAGO,IL,60603-2300,197509, , , , ,-87.62948,41.88188,4,3,1,17,31,10 S DEARBORN,CHICAGO,IL,60603-2300,60603,1,0,0,0,0,0,0, 
8401701251,HST,432104825, ,A54, , ,A FRENCH AMERICAN MUSEUM OF CHICAGO,A FRENCH AMERICAN MUSEUM OF CHICAGO, , ,PO BOX 61,CHICAGO,IL,60690-0061,60690, , , , , , , , , , , , , , , , , , , , , ,-87.63072,41.87928,4,3,1,17,31,PO BOX 61,CHICAGO,IL,60690-0061,60690,0,0,0,0,0,0,0, 
8401701391,HST,2167004, , , , ,CHICAGO HISTORY MUSEUM,CHICAGO HISTORY MUSEUM, , ,1600 NORTH CLARK STREET,CHICAGO,IL,60614-6038,60614,1600 NORTH CLARK STREET,CHICAGO,IL,60614-6038,60614, ,HTTP://CHICAGOHISTORY.ORG, , , , , , , , , , , , , , ,-87.64911,41.92365,4,3,1,17, ,1600 NORTH CLARK STREET,CHICAGO,IL,60614-6038,60614,0,0,0,0,1,0,0, 
8401701397,BOT,366066894, , , ,813211,EDEN PLACE NATURE CENTER,THE DONNELLEY FOUNDATION, , ,4417 S STEWART AVENUE,CHICAGO,IL,60609,60609,4417 S STEWART AVENUE,CHICAGO,IL,60609,60609,7736248686, ,THE DONNELLEY FOUNDATION,201312,7,6061359, ,333 N MICHIGAN AVE STE 2,CHICAGO,IL,60601-4104,195707, , , , ,-87.63567,41.81391,4,3,1,17,31,4417 S STEWART AVENUE,CHICAGO,IL,60609,60609,1,0,0,0,1,0,1,ANCA
8409500092,ZAW, , , , , ,JOHN G. SHEDD AQUARIUM,JOHN G. SHEDD AQUARIUM,SHEDD AQUARIUM SOCIETY, ,1200 S LAKE SHORE DRIVE,CHICAGO,IL,60605-2490,60605,1200 S LAKE SHORE DRIVE,CHICAGO,IL,60605-2490,60605,3129392438,HTTP://WWW.SHEDDAQUARIUM.ORG, , , , , , , , , , , , , , ,-87.61907,41.86668,4,3,1,17,31,1200 S LAKE SHORE DRIVE,CHICAGO,IL,60605-2490,60605,0,0,0,0,0,0,0,AZA
8409500104,ZAW, , , , , ,LINCOLN PARK ZOO,LINCOLN PARK ZOO,LINCOLN PARK ZOOLOGICAL SOCIETY, ,2200 NORTH CANNON DRIVE,CHICAGO,IL,60614,60614,2200 NORTH CANNON DRIVE,CHICAGO,IL,60614,60614,3127422020,HTTP://WWW.LPZOO.ORG/, , , , , , , , , , , , , , ,-87.63238,41.92271,4,3,1,17,31,2200 NORTH CANNON DRIVE,CHICAGO,IL,60614,60614,0,0,0,0,0,0,0,AZA
8409502300,BOT, , , , , ,LURIE GARDEN,LURIE GARDEN,MILLENIUM PARK, ,201 E RANDOLPH STREET,CHICAGO,IL,60601,60601,201 E RANDOLPH STREET,CHICAGO,IL,60601,60601, ,HTTP://WWW.LURIEGARDEN.ORG, , , , , , , , , , , , , , ,-87.62294,41.88419,4,3,1,17,31,201 E RANDOLPH STREET,CHICAGO,IL,60601,60601,0,0,0,0,0,0,0,APGA
8409502573,BOT,362177139, ,B43,5421136,611310,UNIVERSITY OF CHICAGO BOTANIC GARDEN,UNIVERSITY OF CHICAGO, , ,5235 S HARPER CT,CHICAGO,IL,60615,60615, , , , , ,7738341657,HTTP://BOTANICGARDEN.UCHICAGO.EDU,UNIVERSITY OF CHICAGO,201306,9,4527982241,3091898511,654 S DREXEL AVE STE 300,CHICAGO,IL,60637-0000,195110,144050,UNIVERSITY OF CHICAGO,CHICAGO,IL,-87.60447,41.78279,4,3,1,17, ,654 S DREXEL AVE STE 300,CHICAGO,IL,60637-0000,60637,1,0,0,0,0,1,0, 
8409502782,ART,362167048, ,B43,825753379,611310,ART MUSEUM,DEPAUL UNIVERSITY, , ,935 WEST FULLERTON AVENUE,CHICAGO,IL,60614,60614, , , , , ,7733257506,HTTP://MUSEUMS.DEPAUL.EDU,DEPAUL UNIVERSITY,201406,9,810168648,757860188,1 E JACKSON BLVD,CHICAGO,IL,60604-2201,195210,144740,DEPAUL UNIVERSITY,CHICAGO,IL,-87.62765,41.87809,4,3,1,17,31,1 E JACKSON BLVD,CHICAGO,IL,60604-2201,60604,1,0,0,0,0,1,0, 
8409502846,ART,362167725, ,B40,68478353,611310,BETTY RYMER GALLERY,ART INSTITUTE OF CHICAGO, , ,36 S WABASH,CHICAGO,IL,60603,60603, , , , , , , ,ART INSTITUTE OF CHICAGO,201306,9,322753936,253332003,111 S MICHIGAN AVE,CHICAGO,IL,60603-6110,192508,143048,SCHOOL OF THE ART INSTITUTE OF CHICAGO,CHICAGO,IL,-87.62415,41.88069,4,3,1,17,31,111 S MICHIGAN AVE,CHICAGO,IL,60603-6110,60603,1,0,0,0,0,1,0, 
8409502988,ART,366112087, ,B42,68497411,611310,COLUMBIA COLLEGE ART GALLERY,COLUMBIA COLLEGE, , ,623 SOUTH WABASH AVENUE,CHICAGO,IL,60605,60605, , , , , ,3123696864, ,COLUMBIA COLLEGE,201308,9,263041160,256922328,600 SOUTH MICHIGAN AVENU,CHICAGO,IL,60605-1900,194301,144281,COLUMBIA COLLEGE CHICAGO,CHICAGO,IL,-87.62425,41.87442,4,3,1,17,31,600 SOUTH MICHIGAN AVENU,CHICAGO,IL,60605-1900,60605,1,0,0,0,0,1,0, 
8409503039,ART,362177139, ,B43,5421136,611310,DAVID AND ALFRED SMART MUSEUM OF ART,UNIVERSITY OF CHICAGO,ORIENTAL INSTITUTE MUSEUM, ,5550 SOUTH GREENWOOD AVENUE,CHICAGO,IL,60637,60637, , , , , ,7737020200,HTTP://SMARTMUSEUM.UCHICAGO.EDU/,UNIVERSITY OF CHICAGO,201306,9,4527982241,3091898511,654 S DREXEL AVE STE 300,CHICAGO,IL,60637-0000,195110,144050,UNIVERSITY OF CHICAGO,CHICAGO,IL,-87.60447,41.78279,4,3,1,17, ,654 S DREXEL AVE STE 300,CHICAGO,IL,60637-0000,60637,1,0,0,0,0,1,0, 
8409503240,ART,362167854, ,B43, ,611310,GAGE GALLERY,ROOSEVELT UNIVERSITY, , ,430 S MICHIGAN AVE,CHICAGO,IL,60605,60605, , , , , , ,HTTP://WWW.ROOSEVELT.EDU/GAGEGALLERY,ROOSEVELT UNIVERSITY,201308,9,157723037,154139684,430 S MICHIGAN AVE,CHICAGO,IL,60605-1315,194510,148487,ROOSEVELT UNIVERSITY,CHICAGO,IL,-87.62429,41.87662,4,3,1,17,31,430 S MICHIGAN AVE,CHICAGO,IL,60605-1315,60605,1,0,0,0,0,1,0, 
8409503264,ART,362167725, ,B40,68478353,611310,GALLERY 2,ART INSTITUTE OF CHICAGO, , ,36 S WABASH,CHICAGO,IL,60603,60603, , , , , , , ,ART INSTITUTE OF CHICAGO,201306,9,322753936,253332003,111 S MICHIGAN AVE,CHICAGO,IL,60603-6110,192508,143048,SCHOOL OF THE ART INSTITUTE OF CHICAGO,CHICAGO,IL,-87.62415,41.88069,4,3,1,17,31,111 S MICHIGAN AVE,CHICAGO,IL,60603-6110,60603,1,0,0,0,0,1,0, 
8409503269,ART,376000511, ,B43,41544081,813219,GALLERY 400,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS, , ,400 SOUTH PEORIA STREET,CHICAGO,IL,60607,60607, , , , , ,3129966114,HTTP://GALLERY400.UIC.EDU,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,201306,0, , ,506 S WRIGHT STREET 209,URBANA,IL,61801-0000,194105,145600,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,IL,-88.22875,40.11685,4,3,4,17,19,506 S WRIGHT STREET 209,URBANA,IL,61801-0000,61801,1,0,0,0,0,1,0, 
8409503614,ART,361408475, ,B43,74368911,611310,LOYOLA UNIVERSITY MUSEUM OF ART,LOYOLA UNIVERSITY OF CHICAGO,MARTIN D'ARCY GALLERY OF ART, ,820 NORTH MICHIGAN AVENUE,CHICAGO,IL,60611,60611, , , , , ,3129157600,HTTP://WWW.LUC.EDU/LUMA/,LOYOLA UNIVERSITY OF CHICAGO,201306,9,780341860,663940501,820 N MICHIGAN AVE,CHICAGO,IL,60611-2147,200708,146719,LOYOLA UNIVERSITY CHICAGO,CHICAGO,IL,-87.62332,41.89756,4,3,1,17,31,820 N MICHIGAN AVE,CHICAGO,IL,60611-2147,60611,1,0,0,0,0,1,0, 
8409503762,ART,366112087, ,B42,159887520,611310,MUSEUM OF CONTEMPORARY PHOTOGRAPHY,COLUMBIA COLLEGE,MUSEUM OF CONTEMPORARY PHOTOGRAPHY, ,600 SOUTH MICHIGAN AVENUE,CHICAGO,IL,60605,60605, , , , , ,3126635554,HTTP://WWW.MOCP.ORG/,COLUMBIA COLLEGE,201308,9,263041160,256922328,600 SOUTH MICHIGAN AVENU,CHICAGO,IL,60605-1900,194301,144281,COLUMBIA COLLEGE CHICAGO,CHICAGO,IL,-87.62425,41.87442,4,3,2,17,31,600 SOUTH MICHIGAN AVENU,CHICAGO,IL,60605-1900,60605,1,0,0,0,0,1,0, 
8409503894,ART,362606236, , ,77034957, ,PRESIDENT’S GALLERY,PRESIDENT’S GALLERY, , ,30 E LAKE ST  ,CHICAGO,IL,60601,60601, , , , , ,3125535738, , , , , , , , , , , ,144209,CITY COLLEGES OF CHICAGO-HAROLD WASHINGTON COLLEGE,CHICAGO,IL                ,-87.62683,41.88584,4,3,1,17,31,30 E LAKE ST  ,CHICAGO,IL,60601,60601,0,0,0,0,0,1,0, 
8409503896,ART,362580815, , ,108109182, ,PRESIDENT’S GALLERY,PRESIDENT'S GALLERY, , ,9501 S KING DRIVE,CHICAGO,IL,60628,60628, , , , , , , , , , , , , , , , , ,144005,CHICAGO STATE UNIVERSITY,CHICAGO,IL,-87.61409,41.72092,4,3,1,17,31,9501 S KING DRIVE,CHICAGO,IL,60628,60628,0,0,0,0,0,1,0, 
8409504100,ART,370864020, ,B42, ,611310,STATE STREET GALLERY,ROBERT MORRIS UNIVERSITY ILLINOIS, , ,401 SOUTH STATE STREET,CHICAGO,IL,60605,60605, , , , , , , ,ROBERT MORRIS UNIVERSITY ILLINOIS,201406,9,151419048,102568851,401 S STATE STREET,CHICAGO,IL,60605-1229,196512,148335,ROBERT MORRIS UNIVERSITY ILLINOIS,CHICAGO,IL,-87.62756,41.87692,4,3,1,17,31,401 S STATE STREET,CHICAGO,IL,60605-1229,60605,1,0,0,0,0,1,0, 
8409504137,ART,866004791, , ,806345617, ,STUDENT UNION GALLERIES,STUDENT UNION GALLERIES, , ,37 SOUTH WABASH AVENUE SUITE 106,CHICAGO,IL,60603,60603, , , , , ,3128995131,HTTP://BLOGS.SAIC.EDU/SUGS/, , , , , , , , , , ,104179,UNIVERSITY OF ARIZONA,TUCSON,AZ,-87.6261,41.8816,4,3,1,17,31,37 SOUTH WABASH AVENUE SUITE 106,CHICAGO,IL,60603,60603,0,0,0,0,0,1,0, 
8409504154,ART,362177133, ,B43, ,611310,SXU GALLERY,SAINT XAVIER UNIVERSITY, , ,3700 W 103RD ST,CHICAGO,IL,60655,60655, , , , , , ,HTTP://WWW.SXU.EDU/ACADEMICS/COLLEGES_SCHOOLS/CAS/DEPT/ART/GALLERY.ASP,SAINT XAVIER UNIVERSITY,201406,9,107290256,104916692,3700 W 103RD ST,CHICAGO,IL,60655-3105,194603,148627,SAINT XAVIER UNIVERSITY,CHICAGO,IL,-87.71358,41.7061,4,3,1,17,31,3700 W 103RD ST,CHICAGO,IL,60655-3105,60655,1,0,0,0,0,1,0, 
8409502962,ART,362603931, , , , ,CHRISTOPHER ART GALLERY,CHRISTOPHER ART GALLERY, , ,202 SOUTH HALSTED STREET,CHICAGO HEIGHTS,IL,60411,60411, , , , , , ,HTTP://PRAIRIESTATE.EDU/ARTGALLERY, , , , , , , , , , ,148007,PRAIRIE STATE COLLEGE,CHICAGO HEIGHTS,IL,-87.63588,41.52787,4,3,2,17,31,202 SOUTH HALSTED STREET,CHICAGO HEIGHTS,IL,60411,60411,0,0,0,0,0,1,0, 
8401701314,ART,562443345, ,A51, ,712110,UNION STREET GALLERY,UNION STREET GALLERY, , ,1527 OTTO BLVD,CHICAGO HTS,IL,60411-3442,60411, , , , , ,7087542601,HTTP://WWW.UNIONSTREETGALLERY.ORG,UNION STREET GALLERY,201406,4,132314,132314,1527 OTTO BLVD,CHICAGO HTS,IL,60411-3442,200505, , , , ,-87.63696,41.50384,4,3,2,17,31,1527 OTTO BLVD,CHICAGO HTS,IL,60411-3442,60411,1,0,0,1,0,0,0, 
